name,ticker,Founding Year,IPO Year,ARR ($M),ARR Growth,Effective Cash
Zoom Video,ZM,2011,2019,$423 ,108%,$176 
Crowdstrike,CRWD,2011,2019,$182 ,114%,$175 
Datadog,DDOG,2010,2019,$332 ,82%,$52 
Slack,WORK,2009,2019,$539 ,67%,$792 
Bill.com,BILL,2006,2019,$114 ,58%,$157 
Cloudflare,NET,2009,2019,,,$124 
Medallia,MDLA,2000,2019,$286 ,29%,$132 
,,,,,,
,,,,,,
,,,,,,
