name,ticker,Capital Raised ($M),,,,
Zoom Video,ZM,$146 ,,,,
Crowdstrike,CRWD,$481 ,,,,
Datadog,DDOG,$140 ,,,,
Slack,WORK,"$1,390 ",,,,
Bill.com,BILL,$280 ,,,,
Cloudflare,NET,$332 ,,,,
Medallia,MDLA,$325 ,,,,
,,,,,,
,,,,,,
,,,,,,
