ticker,name,type,dilution,capital_raised,rrr__m,rev_growth,arr__m,arr_growth,effective_cash,net_cash,market_cap__m,founding_year,ipo_year,last_filing,gross_margin,ltm_fcf_pct,efficiency,quarter_fcf_pct,ltm_free_cash_flow_growth_pct,net_dollar_retention,ltm_magic_number,quarter_magic_number,cac_ratio,ltm_median_payback_period,implied_5yr_ltv,implied_cac,implied_5yr_ltv/cac,arr_per_customer,run_rate/employees__k,r&d_pct,general_admin_margin,s&m_pct,growth_persistence,last_year_quarter_growth,operating_income_pct,2020_analyst_revenue_estimates,last_year_run_rate__m,ltm_revenue__m,ltm_revenue_growth
RPD,Rapid7,top_down_ent,,89,103,44,58,32,33.343,16.334,1864,2000,2015,6/30/15,74,,,,,,0.6,0.7,0.4,27.1,,52086.6,,13955,64,32,20,56,193,23,-33,400,71,91,38
NOW,ServiceNow,top_down_ent,75.44,83.7,189,88,138.22,88.05442177,85.94799805,85.94799805,50306,2004,2012,3/31/12,55,,,16,,96,1.7,1.8,0.9,13,651865.8,185210,3.5,147113,18,13,14,41,,,-12,"4,417",100,150,
PS,Pluralsight,top_down_ent,,192.5,198,33,,,,,1445,2004,2018,3/31/18,70,-20,14,-26,,,0.5,0.3,0.3,36.8,,90528.6,,,102,26,23,59,,,-39,394,148,179,
TENB,Tenable Holdings,top_down_ent,,309.84,254,44,210.421,53,26,26,2070,2002,2018,6/30/18,84,-5,39,-2,,,0.7,0.5,0.6,21.8,,-2083578.9,,,175,28,17,66,83,53,-26,436,176,225,46
BL,BlackLine,top_down_ent,,220,128,49,110.596,,19,19,2739,2001,2016,9/30/16,77,-4,44,9,,118,0.6,0.7,0.5,26,,186990.2,,,123,16,24,59,,,-22,348,86,112,
YEXT,Yext,top_down_ent,,117.82,142,39,39,,24,24,1087,2006,2017,1/31/17,73,-15,24,-20,,119,0.5,0.7,0.4,30.1,,,,,103,,25,73,,,,353,102,124,39
MDLA,Medallia,top_down_ent,,325,374,32,286,29,132,132,2243,2000,2019,4/30/19,65,-8,24,18,,119,0.6,1,0.4,30.6,4395258.1,,,506194,243,21,11,36,,,-2,450,282,336,25
SPLK,Splunk,top_down_ent,,40,172,90,,,31,30,16862,2003,2012,1/31/12,92,,,18,,,1.7,2.5,1.5,7.8,,47947.5,,,29,,15,61,,,,"2,508",91,120,82
WIX,Wix.com,smb,,58.5,85,86,,,7.821,,4644,2006,2013,9/30/13,80,,,0,,,1,0.9,0.8,15,,,,,27,36,10,68,118,73,-34,947,45,68,79
WK,Workiva,top_down_ent,,55.58,111,31,94.76,36.6757053,20,10,1455,2008,2014,9/30/14,69,,,,,,0.8,0.4,0.5,21.9,,,,,73,40,16,58,85,37,-45,341,85,106,36
